日期,商品名稱,身份別,多方交易口數,多方交易契約金額,空方交易口數,空方交易契約金額,多空交易口數淨額,多空交易契約金額淨額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空未平倉口數淨額,多空未平倉契約金額淨額
2026/03/12,臺股期貨,外資及陸資,88995,599259411,91039,613132824,-2044,-13873413,12194,81775134,55258,370483457,-43064,-288708323
2026/03/13,臺股期貨,自營商,15640,103828906,14784,98185531,856,5643375,11704,78031194,6295,41962649,5409,36068545
2026/03/13,臺股期貨,投信,1137,7586569,897,5972123,240,1614446,41371,275578856,4775,31805320,36596,243773536
2026/03/13,臺股期貨,外資及陸資,100943,668963926,98290,651560009,2653,17403917,12916,86091731,53263,354924072,-40347,-268832341
2026/03/16,臺股期貨,自營商,18796,125195616,18495,123305258,301,1890359,11360,75647838,5704,38013471,5656,37634367
2026/03/16,臺股期貨,投信,25051,167531016,26307,175439740,-1256,-7908724,40075,267176708,4735,31559112,35340,235617596
2026/03/16,臺股期貨,外資及陸資,130397,867114613,128556,855403022,1841,11711591,13733,91470845,52245,348216248,-38512,-256745403
2026/03/17,臺股期貨,自營商,10697,72200813,13428,90680090,-2731,-18479278,9235,62498756,6279,42544977,2956,19953779
2026/03/17,臺股期貨,投信,19321,131025053,18371,124271038,950,6754015,40880,277289987,4590,31135806,36290,246154181
2026/03/17,臺股期貨,外資及陸資,90806,612656960,88529,597581432,2277,15075528,16754,113451102,52912,358680530,-36158,-245229428
2026/03/18,臺股期貨,自營商,14569,99799723,15214,104301330,-645,-4501607,2703,18691793,5830,40298815,-3127,-21607022
2026/03/18,臺股期貨,投信,1420,9806231,709,4873850,711,4932381,41449,286478908,4448,30742797,37001,255736111
2026/03/18,臺股期貨,外資及陸資,64836,443717544,65710,449670662,-874,-5953117,13055,90231324,47604,329030801,-34549,-238799477
2026/03/19,臺股期貨,自營商,12285,83517966,7964,54081559,4321,29436407,5703,38297019,4525,30385314,1178,7911705
2026/03/19,臺股期貨,投信,70,471306,764,5132335,-694,-4661029,40974,275009293,4667,31323971,36307,243685322
2026/03/19,臺股期貨,外資及陸資,74135,504287711,78004,531029072,-3869,-26741360,9789,65703779,50614,339731922,-40825,-274028143
2026/03/20,臺股期貨,自營商,10462,70143279,12218,81977706,-1756,-11834426,4149,27865863,4735,31796743,-586,-3930880
2026/03/20,臺股期貨,投信,430,2887350,77,516703,353,2370648,41314,277291305,4654,31236717,36660,246054588
2026/03/20,臺股期貨,外資及陸資,98492,658570123,94051,628836183,4441,29733940,10562,70892996,46928,314990158,-36366,-244097162
2026/03/23,臺股期貨,自營商,10096,66010079,9544,62405419,552,3604660,4562,29718817,4616,30070354,-54,-351537
2026/03/23,臺股期貨,投信,1121,7308230,320,2085934,801,5222296,42310,275514258,4849,31575718,37461,243938540
2026/03/23,臺股期貨,外資及陸資,94994,624418141,96252,632782630,-1258,-8364488,8931,58160267,46648,303775271,-37717,-245615004
2026/03/24,臺股期貨,自營商,10142,66836779,10881,71870542,-739,-5033763,3838,25176916,4626,30339110,-788,-5162194
2026/03/24,臺股期貨,投信,450,2954118,130,856649,320,2097470,42735,280179207,4954,32479415,37781,247699792
2026/03/24,臺股期貨,外資及陸資,121234,801692875,117789,779030589,3445,22662286,10873,71289694,44981,294918317,-34108,-223628623
2026/03/25,臺股期貨,自營商,7331,49045950,9098,60964954,-1767,-11919004,2990,20123861,5469,36787186,-2479,-16663325
2026/03/25,臺股期貨,投信,1420,9548653,172,1158549,1248,8390104,43837,294786290,4808,32331877,39029,262454413
2026/03/25,臺股期貨,外資及陸資,81604,544311333,83486,556833397,-1882,-12522064,9961,66988854,45908,308730013,-35947,-241741159
2026/03/26,臺股期貨,自營商,7142,48089664,6450,43492548,692,4597116,3560,23830664,5332,35676536,-1772,-11845872
2026/03/26,臺股期貨,投信,100,668021,645,4307346,-545,-3639325,43360,290000352,4876,32611663,38484,257388689
2026/03/26,臺股期貨,外資及陸資,74567,502633686,75746,510527097,-1179,-7893411,10102,67571803,47167,315482281,-37065,-247910478
2026/03/27,臺股期貨,自營商,7842,51704998,6991,46195740,851,5509258,4263,28268579,5207,34515313,-944,-6246734
2026/03/27,臺股期貨,投信,77,510261,392,2597760,-315,-2087499,43167,285990008,4998,33112750,38169,252877258
2026/03/27,臺股期貨,外資及陸資,71254,470739088,74082,489344627,-2828,-18605539,8029,53202832,47948,317688466,-39919,-264485634
2026/03/30,臺股期貨,自營商,8340,54170110,7182,46693206,1158,7476904,4447,28913355,4247,27603493,200,1309862
2026/03/30,臺股期貨,投信,163,1059924,862,5603262,-699,-4543338,42613,276814048,5143,33408928,37470,243405120
2026/03/30,臺股期貨,外資及陸資,77702,505285607,75037,488129268,2665,17156339,8986,58381730,46268,300579909,-37282,-242198179
2026/03/31,臺股期貨,自營商,10450,67206264,10036,64499689,414,2706575,4699,30066991,4079,26093920,620,3973071
2026/03/31,臺股期貨,投信,432,2761173,247,1578127,185,1183046,42903,274184492,5248,33538918,37655,240645574
2026/03/31,臺股期貨,外資及陸資,86706,559233989,86638,558848718,68,385271,10045,64208755,47259,302055909,-37214,-237847154
2026/04/01,臺股期貨,自營商,7308,48130258,11573,76277882,-4265,-28147624,3315,22176544,6865,45862595,-3550,-23686051
